filepath,emotion
data/raw/crema_d/AudioWAV/crema_d_1001_tai_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_tai_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_tai_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_tai_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_tai_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_tie_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_tie_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_tie_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_tie_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_tie_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_tie_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_tsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1001_wsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_dfa_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_ang_hi.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_ang_lo.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_ang_md.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_dis_hi.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_dis_lo.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_dis_md.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_fea_hi.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_fea_lo.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_fea_md.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_hap_hi.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_hap_lo.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_hap_md.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_sad_hi.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_sad_lo.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_ieo_sad_md.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_iom_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_iom_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_iom_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_iom_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_iom_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_iom_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_ith_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_ith_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_ith_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_ith_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_ith_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_ith_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_its_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_its_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_its_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_its_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_its_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_its_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_iwl_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_iww_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_iww_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_iww_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_iww_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_iww_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_iww_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_mti_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_mti_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_mti_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_mti_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_mti_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_mti_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_tai_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_tai_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_tai_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_tai_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_tai_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_tai_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_tie_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_tie_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_tie_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_tie_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_tie_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_tsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1002_wsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_dfa_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_ang_hi.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_ang_lo.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_ang_md.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_dis_hi.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_dis_lo.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_dis_md.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_fea_hi.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_fea_lo.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_fea_md.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_hap_hi.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_hap_lo.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_hap_md.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_sad_hi.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_sad_lo.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_ieo_sad_md.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_iom_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_iom_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_iom_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_iom_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_iom_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_iom_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_ith_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_ith_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_ith_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_ith_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_ith_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_ith_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_its_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_its_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_its_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_its_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_its_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_its_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_iwl_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_iww_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_iww_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_iww_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_iww_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_iww_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_iww_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_mti_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_mti_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_mti_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_mti_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_mti_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_mti_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_tai_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_tai_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_tai_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_tai_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_tai_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_tai_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_tie_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_tie_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_tie_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_tie_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_tie_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_tie_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_tsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1003_wsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_dfa_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_ang_hi.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_ang_lo.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_ang_md.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_dis_hi.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_dis_lo.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_dis_md.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_fea_hi.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_fea_lo.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_fea_md.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_hap_hi.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_hap_lo.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_hap_md.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_sad_hi.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_sad_lo.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_ieo_sad_md.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_iom_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_iom_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_iom_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_iom_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_iom_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_iom_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_ith_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_ith_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_ith_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_ith_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_ith_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_ith_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_its_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_its_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_its_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_its_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_its_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_its_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_iwl_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_iww_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_iww_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_iww_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_iww_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_iww_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_iww_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_mti_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_mti_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_mti_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_mti_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_mti_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_mti_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_tai_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_tai_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_tai_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_tai_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_tai_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_tai_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_tie_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_tie_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_tie_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_tie_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_tie_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_tie_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_tsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1004_wsi_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_ang_xx.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_dis_xx.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_fea_xx.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_hap_xx.wav,happy
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_neu_xx.wav,neutral
data/raw/crema_d/AudioWAV/crema_d_1005_dfa_sad_xx.wav,sad
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_ang_hi.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_ang_lo.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_ang_md.wav,angry
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_dis_hi.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_dis_lo.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_dis_md.wav,disgust
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_fea_hi.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_fea_lo.wav,fearful
data/raw/crema_d/AudioWAV/crema_d_1005_ieo_fea_md.wav,fearful
